CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Aruba,ABW,20200301,0,0,,,0
Aruba,ABW,20200302,0,0,,,0
Aruba,ABW,20200303,0,0,,,0
Aruba,ABW,20200304,0,0,,,0
Aruba,ABW,20200305,0,0,,,0
Aruba,ABW,20200306,0,0,,,0
Aruba,ABW,20200307,0,0,,,0
Aruba,ABW,20200308,0,0,,,0
Aruba,ABW,20200309,0,0,,,0
Aruba,ABW,20200310,0,0,,,0
Aruba,ABW,20200311,0,0,,,0
Aruba,ABW,20200312,0,0,,,0
Aruba,ABW,20200313,0,0,2,0,0
Aruba,ABW,20200314,0,0,,,0
Aruba,ABW,20200315,0,0,,,10.71
Aruba,ABW,20200316,3,0,,,25
Aruba,ABW,20200317,3,0,,,25
Aruba,ABW,20200318,3,0,,,39.29
Aruba,ABW,20200319,3,0,,,39.29
Aruba,ABW,20200320,3,0,4,0,39.29
Afghanistan,AFG,20200301,0,0,1,0,23.81
Afghanistan,AFG,20200302,0,0,1,0,27.38
Afghanistan,AFG,20200303,0,0,,,27.38
Afghanistan,AFG,20200304,0,0,,,27.38
Afghanistan,AFG,20200305,0,0,,,27.38
Afghanistan,AFG,20200306,0,0,,,27.38
Afghanistan,AFG,20200307,0,0,,,27.38
Afghanistan,AFG,20200308,0,0,4,0,27.38
Afghanistan,AFG,20200309,0,0,,,27.38
Afghanistan,AFG,20200310,0,0,,,27.38
Afghanistan,AFG,20200311,0,0,7,0,27.38
Afghanistan,AFG,20200312,0,0,,,27.38
Afghanistan,AFG,20200313,0,0,,,27.38
Afghanistan,AFG,20200314,3,0,,,41.67
Afghanistan,AFG,20200315,3,0,10,0,41.67
Afghanistan,AFG,20200316,3,0,16,0,41.67
Afghanistan,AFG,20200317,3,0,21,0,41.67
Afghanistan,AFG,20200318,3,0,22,0,46.43
Afghanistan,AFG,20200319,3,0,22,0,46.43
Afghanistan,AFG,20200320,3,0,22,0,46.43
Afghanistan,AFG,20200321,3,0,24,0,46.43
Afghanistan,AFG,20200322,3,0,24,0,46.43
Afghanistan,AFG,20200323,3,0,34,0,46.43
Afghanistan,AFG,20200324,3,0,40,1,57.14
Angola,AGO,20200301,0,0,,,10.71
Angola,AGO,20200302,0,0,,,10.71
Angola,AGO,20200303,0,0,,,10.71
Angola,AGO,20200304,0,0,,,10.71
Angola,AGO,20200305,0,0,,,10.71
Angola,AGO,20200306,0,0,,,10.71
Angola,AGO,20200307,0,0,,,10.71
Angola,AGO,20200308,0,0,,,10.71
Angola,AGO,20200309,0,0,,,10.71
Angola,AGO,20200310,0,0,,,10.71
Angola,AGO,20200311,0,0,,,10.71
Angola,AGO,20200312,0,0,,,10.71
Angola,AGO,20200313,0,0,,,10.71
Angola,AGO,20200314,0,0,,,10.71
Angola,AGO,20200315,0,0,,,10.71
Angola,AGO,20200316,0,0,,,10.71
Angola,AGO,20200317,0,0,,,10.71
Angola,AGO,20200318,0,0,,,10.71
Angola,AGO,20200319,0,0,,,10.71
Angola,AGO,20200320,0,0,,,14.29
Angola,AGO,20200321,0,0,,,14.29
Angola,AGO,20200322,0,0,2,0,14.29
Angola,AGO,20200323,0,0,2,0,14.29
Angola,AGO,20200324,3,0,2,0,46.67
Angola,AGO,20200325,3,0,2,0,46.67
Angola,AGO,20200326,3,0,2,0,46.67
Albania,ALB,20200301,0,0,,,13.1
Albania,ALB,20200302,0,0,,,13.1
Albania,ALB,20200303,0,0,,,13.1
Albania,ALB,20200304,0,0,,,13.1
Albania,ALB,20200305,0,0,,,13.1
Albania,ALB,20200306,0,0,,,13.1
Albania,ALB,20200307,0,0,,,13.1
Albania,ALB,20200308,0,0,,,13.1
Albania,ALB,20200309,3,0,2,0,41.67
Albania,ALB,20200310,3,0,6,0,46.43
Albania,ALB,20200311,3,0,10,0,60.71
Albania,ALB,20200312,3,0,11,1,60.71
Andorra,AND,20200301,0,0,,,0
Andorra,AND,20200302,0,0,,,0
Andorra,AND,20200303,0,0,1,0,0
Andorra,AND,20200304,0,0,,,0
Andorra,AND,20200305,0,0,,,0
Andorra,AND,20200306,0,0,,,0
Andorra,AND,20200307,0,0,,,0
Andorra,AND,20200308,0,0,,,0
Andorra,AND,20200309,0,0,,,0
Andorra,AND,20200310,0,0,,,0
Andorra,AND,20200311,0,0,,,0
Andorra,AND,20200312,0,0,,,0
United Arab Emirates,ARE,20200301,2,0,21,0,21.43
United Arab Emirates,ARE,20200302,2,0,21,0,21.43
United Arab Emirates,ARE,20200303,2,0,,,21.43
United Arab Emirates,ARE,20200304,2,0,27,0,21.43
United Arab Emirates,ARE,20200305,2,0,,,21.43
United Arab Emirates,ARE,20200306,2,0,29,0,21.43
United Arab Emirates,ARE,20200307,2,0,,,21.43
United Arab Emirates,ARE,20200308,3,0,45,0,28.57
United Arab Emirates,ARE,20200309,3,0,,,28.57
United Arab Emirates,ARE,20200310,3,0,59,0,28.57
United Arab Emirates,ARE,20200311,3,0,74,0,42.86
United Arab Emirates,ARE,20200312,3,0,,,42.86
United Arab Emirates,ARE,20200518,3,0,23358,220,83.33
United Arab Emirates,ARE,20200519,3,0,24190,224,83.33
United Arab Emirates,ARE,20200520,3,0,25063,227,83.33
Argentina,ARG,20200301,0,0,,,14.29
Argentina,ARG,20200302,0,0,,,14.29
Argentina,ARG,20200303,0,0,,,14.29
Argentina,ARG,20200304,0,0,1,0,14.29
Argentina,ARG,20200305,0,0,,,14.29
Argentina,ARG,20200306,0,0,2,0,14.29
Argentina,ARG,20200307,0,0,8,0,14.29
Argentina,ARG,20200308,0,0,9,1,14.29
Argentina,ARG,20200309,0,0,12,1,14.29
Argentina,ARG,20200310,0,0,,,14.29
Argentina,ARG,20200311,0,0,19,1,30.95
Argentina,ARG,20200312,0,0,,,30.95
Argentina,ARG,20200313,0,0,31,1,30.95
Argentina,ARG,20200314,0,0,34,2,30.95
Argentina,ARG,20200315,0,0,45,2,30.95
Argentina,ARG,20200316,3,0,56,2,52.38
Argentina,ARG,20200317,3,0,65,2,52.38
Argentina,ARG,20200318,3,0,79,2,52.38
Australia,AUS,20200301,0,0,26,1,25
Australia,AUS,20200302,0,0,29,1,25
Australia,AUS,20200303,0,0,33,1,25
Australia,AUS,20200304,0,0,41,1,25
Australia,AUS,20200305,0,0,52,2,25
